# estimated x; estimated y; actual x; actual y; error distance (1 decimal)
2.0;9.5;1.52;9.32;0.5126402247190518
-20.5;-9.25;0.78;10.94;29.333845639465682
0.5;5.0;0.78;10.94;5.946595664748024
0.5;6.5;0.78;10.94;4.44882006828777
2.0;9.5;0.78;10.94;1.8873261509341723
0.5;11.0;0.78;10.94;0.2863564212655272
23.0;6.5;1.39;6.61;21.61027996116663
0.5;5.0;1.39;6.61;1.8396195258802839
27.5;8.0;1.39;6.61;26.14697305616847
18.5;8.0;1.39;6.61;17.16636828219644
0.5;3.5;1.39;6.61;3.2348415726276305
9.5;5.0;4.51;7.63;5.640655990219577
11.0;8.0;4.51;7.63;6.500538439237168
5.0;8.0;4.51;7.63;0.6140032573203503
9.5;5.0;4.51;7.63;5.640655990219577
6.5;3.5;4.51;7.63;4.584430171787983
12.5;5.0;6.0;7.88;7.109458488520768
11.0;8.0;6.0;7.88;5.001439792699698
9.5;5.0;6.0;7.88;4.532593076815963
11.0;8.0;6.0;7.88;5.001439792699698
11.0;8.0;6.0;7.88;5.001439792699698
11.0;8.0;9.08;7.24;2.064945519862449
8.0;3.5;9.08;7.24;3.8928138922892273
9.5;6.5;9.08;7.24;0.850881895447306
-17.5;-9.25;9.08;7.24;31.279649934102522
11.0;6.5;9.08;7.24;2.057668583615933
12.5;6.5;10.62;3.87;3.2328470424689137
11.0;3.5;10.62;3.87;0.5303772242470454
9.5;3.5;10.62;3.87;1.1795338062132845
12.5;3.5;10.62;3.87;1.9160636732634966
17.0;8.0;10.62;3.87;7.600085525834562
15.5;8.0;10.99;7.19;4.582161062206347
9.5;5.0;10.99;7.19;2.648811054039152
12.5;3.5;10.99;7.19;3.987003887632918
11.0;8.0;10.99;7.19;0.810061726043145
9.5;5.0;10.99;7.19;2.648811054039152
8.0;8.0;11.76;7.76;3.7676517885813174
11.0;6.5;11.76;7.76;1.4714618581533125
8.0;8.0;11.76;7.76;3.7676517885813174
8.0;8.0;11.76;7.76;3.7676517885813174
11.0;6.5;11.76;7.76;1.4714618581533125
12.5;3.5;11.39;5.0;1.866038584810078
11.0;6.5;11.39;5.0;1.549870962370739
11.0;3.5;11.39;5.0;1.549870962370739
18.5;8.0;11.39;5.0;7.71700071271216
24.5;3.5;11.39;5.0;13.19553333518581
9.5;6.5;12.95;5.25;3.6694686263817538
9.5;6.5;12.95;5.25;3.6694686263817538
8.0;8.0;12.95;5.25;5.66259657754285
12.5;8.0;12.95;5.25;2.7865749586185546
27.5;8.0;12.95;5.25;14.807599400307938
8.0;8.0;13.46;7.85;5.462060050933165
5.0;8.0;13.46;7.85;8.461329682738997
18.5;8.0;13.46;7.85;5.042231648784097
18.5;8.0;13.46;7.85;5.042231648784097
11.0;6.5;13.46;7.85;2.806082678753426
15.5;8.0;14.98;7.55;0.6876772498781675
11.0;3.5;14.98;7.55;5.678283191247158
15.5;8.0;14.98;7.55;0.6876772498781675
18.5;8.0;14.98;7.55;3.548647629731642
11.0;3.5;14.98;7.55;5.678283191247158
0.5;-10.75;21.45;6.62;27.21432343454454
-17.5;-9.25;21.45;6.62;42.05899903706697
21.5;5.0;21.45;6.62;1.62077142126828
23.0;5.0;21.45;6.62;2.24207493184327
21.5;3.5;21.45;6.62;3.1204006153056696
2.0;12.5;21.84;5.16;21.15422416445472
2.0;-3.25;21.84;5.16;21.54886771967381
0.5;-10.75;21.84;5.16;26.61810849778774
2.0;-12.25;21.84;5.16;26.39571366718468
-4.0;-9.25;21.84;5.16;29.586376932635737
2.0;-18.25;22.38;3.94;30.128732133961428
0.5;-10.75;22.38;3.94;26.353946573521014
2.0;-7.75;22.38;3.94;23.494690889645682
0.5;-10.75;22.38;3.94;26.353946573521014
0.5;9.5;22.38;3.94;22.575384825069982
20.0;3.5;22.3;6.36;3.67009536660834
0.5;9.5;22.3;6.36;22.024976730975222
0.5;9.5;22.3;6.36;22.024976730975222
20.0;3.5;22.3;6.36;3.67009536660834
17.0;3.5;22.3;6.36;6.0224247608417665
2.0;-6.25;28.12;7.57;29.550749567481365
0.5;-10.75;28.12;7.57;33.143427704448435
0.5;9.5;28.12;7.57;27.687349096654234
0.5;9.5;28.12;7.57;27.687349096654234
2.0;-18.25;28.12;7.57;36.72773883592618
2.0;-3.25;31.78;7.62;31.70181855982398
0.5;-18.25;31.78;7.62;40.59181321399674
2.0;-3.25;31.78;7.62;31.70181855982398
0.5;-10.75;31.78;7.62;36.27527119126748
2.0;-3.25;31.78;7.62;31.70181855982398
-22.0;-10.75;32.16;7.08;57.01942212965683
0.5;3.5;32.16;7.08;31.861763918527796
0.5;3.5;32.16;7.08;31.861763918527796
0.5;9.5;32.16;7.08;31.75235424342579
0.5;9.5;32.16;7.08;31.75235424342579
0.5;-10.75;32.68;3.48;35.18586790175851
-4.0;-9.25;32.68;3.48;38.8262192339146
0.5;-18.25;32.68;3.48;38.829696110065036
0.5;-18.25;32.68;3.48;38.829696110065036
-4.0;-9.25;32.68;3.48;38.8262192339146
23.0;5.0;23.5;4.22;0.9264987857520378
2.0;-7.75;23.5;4.22;24.60753746314328
27.5;3.5;23.5;4.22;4.064283454681772
27.5;3.5;23.5;4.22;4.064283454681772
2.0;-7.75;23.5;4.22;24.60753746314328
2.0;-18.25;25.23;7.78;34.888304630635176
0.5;-4.75;25.23;7.78;27.723163600137703
0.5;-15.25;25.23;7.78;33.79280692691864
2.0;-12.25;25.23;7.78;30.673014198151446
0.5;-18.25;25.23;7.78;35.904509466082395
-23.5;-10.75;-23.9;-9.65;1.1704699910719618
