-23.5;-10.75;-23.9;-9.65;1.1704699910719618
-16.0;-9.25;-23.9;-9.65;7.910120100226037
-16.0;-9.25;-23.9;-9.65;7.910120100226037
26.0;6.5;-23.9;-9.65;52.448379383923765
30.5;3.5;-23.9;-9.65;55.966798193214515
-22.0;-10.75;-23.0;-10.55;1.0198039027185568
-16.0;-9.25;-23.0;-10.55;7.119691004531026
0.5;12.5;-23.0;-10.55;32.91735864251565
-22.0;-10.75;-23.0;-10.55;1.0198039027185568
30.5;3.5;-23.0;-10.55;55.31412568232459
-19.0;-9.25;-19.65;-10.7;1.589024858207069
-17.5;-10.75;-19.65;-10.7;2.1505813167606553
-20.5;-10.75;-19.65;-10.7;0.8514693182963214
-20.5;-10.75;-19.65;-10.7;0.8514693182963214
30.5;3.5;-19.65;-10.7;52.12161259976518
-16.0;-9.25;-17.35;-11.2;2.3717082451262845
-19.0;-10.75;-17.35;-11.2;1.7102631376487054
-20.5;-10.75;-17.35;-11.2;3.181980515339462
-20.5;-10.75;-17.35;-11.2;3.181980515339462
-20.5;-10.75;-17.35;-11.2;3.181980515339462
27.5;8.0;-15.5;-9.6;46.46245796339234
-14.5;-9.25;-15.5;-9.6;1.0594810050208545
-22.0;-10.75;-15.5;-9.6;6.600946901770987
-14.5;-9.25;-15.5;-9.6;1.0594810050208545
-20.5;-10.75;-15.5;-9.6;5.130545779934139
-20.5;-9.25;-12.9;-10.5;7.70211010048545
-8.5;-10.75;-12.9;-10.5;4.407096549884062
-16.0;-9.25;-12.9;-10.5;3.342528982671653
-7.0;-10.75;-12.9;-10.5;5.905294234837076
-8.5;-10.75;-12.9;-10.5;4.407096549884062
-8.5;-10.75;-10.55;-9.9;2.2192341021172153
27.5;3.5;-10.55;-9.9;40.340581304686225
27.5;8.0;-10.55;-9.9;42.05011890589609
-5.5;-9.25;-10.55;-9.9;5.091659847240388
-16.0;-9.25;-10.55;-9.9;5.4886246000250365
-8.5;-10.75;-9.2;-10.75;0.6999999999999993
-8.5;-10.75;-9.2;-10.75;0.6999999999999993
