# estimated x; estimated y; actual x; actual y; error distance
6.0;8.0;2.02;7.45;4.0178227935039645
14.5;6.0;2.02;7.45;12.563952403602936
4.5;7.5;2.02;7.45;2.480503981049013
1.5;9.0;2.02;7.45;1.6349006085998008
19.0;6.0;2.49;7.6;16.58734758784538
12.5;6.5;2.49;7.6;10.070258189341521
1.5;5.5;2.49;7.6;2.321658889673502
6.0;7.5;2.49;7.6;3.5114242124813115
16.0;6.0;2.49;7.6;13.60441472463994
1.0;10.0;1.52;9.32;0.8560373823613077
1.5;7.5;1.52;9.32;1.8201098867925534
1.0;9.0;1.52;9.32;0.6105735008989501
10.5;7.5;1.52;9.32;9.162576056983102
1.0;10.0;1.52;9.32;0.8560373823613077
8.0;8.0;0.78;10.94;7.795639806969021
6.5;7.0;0.78;10.94;6.945646118252785
19.0;7.0;0.78;10.94;18.641137304359944
22.5;7.5;0.78;10.94;21.990725317733382
1.0;11.5;0.78;10.94;0.6016643582596534
2.0;5.0;1.39;6.61;1.7216852209390663
1.5;4.5;1.39;6.61;2.1128653530218156
9.5;6.0;1.39;6.61;8.132908458847917
1.5;7.0;1.39;6.61;0.40521599178709594
10.5;4.0;1.39;6.61;9.476507795596435
4.0;7.0;4.51;7.63;0.8105553651663775
2.5;6.5;4.51;7.63;2.3058620947489463
9.0;7.0;4.51;7.63;4.533982796614914
5.0;5.5;4.51;7.63;2.1856349191939626
11.5;6.5;4.51;7.63;7.08074854799971
11.0;6.5;6.0;7.88;5.186945151049893
12.0;5.5;6.0;7.88;6.454796666046112
8.5;6.5;6.0;7.88;2.8555910071296973
11.5;6.5;6.0;7.88;5.670484988076417
10.0;7.0;6.0;7.88;4.095656235574466
9.5;5.0;9.08;7.24;2.279034883453959
9.5;5.0;9.08;7.24;2.279034883453959
12.5;7.0;9.08;7.24;3.4284107105187966
10.5;6.5;9.08;7.24;1.6012495120998476
13.5;7.0;9.08;7.24;4.4265110414411035
8.5;7.0;10.62;3.87;3.780383578421639
13.0;6.5;10.62;3.87;3.547012827718558
11.0;4.5;10.62;3.87;0.7357309290766567
12.5;6.5;10.62;3.87;3.2328470424689137
12.0;6.0;10.62;3.87;2.5379716310471245
