# estimated x; estimated y; actual x; actual y; error distance; percentages of error values equal or smaller to this;
0.5;-14.75;32.16;7.08;38.4565274043302;0.0
0.5;-14.75;31.78;7.62;38.45588771566716;0.43668122270742354
-0.5;-10.25;31.78;7.62;36.89627759002255;0.8733624454148471
-1.0;-10.25;32.68;3.48;36.371077795413214;1.3100436681222707
0.0;-9.75;31.78;7.62;36.21719619186444;1.7467248908296942
-0.5;-8.25;32.16;7.08;36.07886500432074;2.1834061135371177
-0.5;-8.25;32.16;7.08;36.07886500432074;3.056768558951965
1.5;-10.25;32.16;7.08;35.218808895248;3.056768558951965
27.5;3.5;0.85;-18.55;34.58937698195791;3.4934497816593884
0.0;-9.75;28.12;7.57;33.02600187730874;3.9301310043668125
0.0;-9.75;28.12;7.57;33.02600187730874;4.8034934497816595
7.0;-0.75;-23.9;-9.65;32.156181365330056;4.8034934497816595
26.5;3.5;1.15;-15.15;31.471336164834185;5.240174672489083
21.5;4.0;0.85;-18.55;30.576543297109303;5.676855895196507
21.5;4.0;0.85;-18.55;30.576543297109303;6.550218340611353
26.5;3.5;-0.95;-9.95;30.568038864146978;6.550218340611353
26.5;3.5;-0.95;-9.95;30.568038864146978;7.423580786026202
23.5;5.5;1.15;-15.15;30.429344389914153;7.423580786026202
24.0;4.5;1.15;-15.15;30.13710337773025;7.860262008733625
25.5;5.0;1.55;-11.95;29.34118266191736;8.296943231441048
25.5;5.0;1.55;-11.95;29.34118266191736;9.170305676855897
21.5;4.0;-4.1;-9.9;29.130224853234488;9.170305676855897
24.0;4.5;0.75;-13.05;29.130139031594066;9.606986899563319
25.5;4.5;1.55;-11.95;29.055206073955144;10.043668122270741
26.0;5.0;1.2;-9.05;28.50337699291086;10.480349344978166
24.0;4.5;1.55;-11.95;27.83172650052454;10.91703056768559
27.5;3.5;1.65;-6.3;27.645297972711383;11.353711790393014
27.0;3.5;1.65;-6.3;27.178346160132705;11.790393013100436
26.5;3.5;1.65;-6.3;26.71259066432906;12.22707423580786
22.5;6.0;1.2;-9.05;26.080500378635378;12.663755458515283
0.5;-9.25;22.38;3.94;25.548199545173432;13.100436681222707
9.5;-6.0;32.68;3.48;25.043617949489647;13.537117903930133
10.0;-4.5;31.78;7.62;24.925143931379818;13.973799126637553
10.0;-4.5;31.78;7.62;24.925143931379818;14.847161572052403
23.5;5.5;1.65;-6.3;24.832690148270288;14.847161572052403
23.0;7.0;1.2;-3.7;24.284357104934855;15.283842794759824
18.5;1.75;-2.05;-11.1;24.236852105832554;15.72052401746725
23.0;6.0;1.2;-3.7;23.86063704095094;16.157205240174672
22.5;6.0;1.2;-3.7;23.404700382615456;16.593886462882097
22.5;6.0;1.2;-3.7;23.404700382615456;17.46724890829694
6.5;-6.0;25.23;7.78;23.252984754650317;17.46724890829694
6.5;-6.0;25.23;7.78;23.252984754650317;18.340611353711793
15.5;-2.25;-6.35;-10.2;23.251344047172843;18.340611353711793
15.5;-2.25;-6.35;-10.2;23.251344047172843;19.213973799126638
23.0;6.0;1.85;-2.25;22.70209241457712;19.213973799126638
23.0;6.0;1.85;-2.25;22.70209241457712;20.087336244541483
23.0;6.0;1.85;-2.25;22.70209241457712;20.96069868995633
19.5;-2.25;1.15;-15.15;22.430615238998687;20.52401746724891
21.5;4.0;1.65;-6.3;22.363195209987325;20.96069868995633
15.0;-1.75;0.85;-18.55;21.965029023427217;21.397379912663755
21.5;4.0;1.2;-3.7;21.71128738697915;21.83406113537118
23.0;6.0;1.39;6.61;21.618607725753293;22.270742358078603
21.0;7.0;1.85;-2.25;21.266993205434567;22.707423580786028
18.0;0.25;1.55;-11.95;20.480295408025732;23.144104803493452
7.5;-5.0;22.38;3.94;17.359089837891847;23.580786026200872
14.5;1.25;1.2;-9.05;16.82200939245963;24.017467248908297
16.5;4.0;1.71;1.81;14.951260816399397;24.45414847161572
-5.5;-6.0;-19.65;-10.7;14.910147551248444;24.890829694323145
8.0;1.25;21.45;6.62;14.482382400696372;25.327510917030565
19.5;-0.75;32.68;3.48;13.842156623879099;25.76419213973799
8.5;-4.5;1.15;-15.15;12.940054095713819;26.200873362445414
14.0;0.75;1.85;-2.25;12.51489113016969;26.637554585152838
13.0;-1.75;22.3;6.36;12.339452986255104;27.074235807860266
15.5;0.25;25.23;7.78;12.30340603247735;27.510917030567683
6.5;-2.5;0.75;-13.05;12.015198708302748;27.947598253275107
21.5;-0.75;32.68;3.48;11.95346393310324;28.38427947598253
7.0;-3.5;-2.05;-11.1;11.817888982385984;28.82096069868996
8.5;-10.0;0.85;-18.55;11.472793905583766;29.257641921397383
21.0;9.5;32.16;7.08;11.419369509740891;29.694323144104807
8.5;-4.5;-0.95;-9.95;10.908941286852723;30.131004366812224
15.5;-0.75;21.45;6.62;9.472032516836077;30.567685589519648
14.5;0.25;21.45;6.62;9.427587178064172;31.004366812227076
5.5;-5.5;-2.05;-11.1;9.400132977782814;31.4410480349345
11.0;1.25;1.71;1.81;9.30686305905486;31.877729257641924
4.5;-6.5;-4.1;-9.9;9.247702417357514;32.314410480349345
10.5;2.0;1.71;1.81;8.792053230048143;32.751091703056765
15.0;-0.75;22.38;3.94;8.744169486006088;33.18777292576419
8.5;7.0;0.78;10.94;8.667294849028732;33.624454148471614
11.0;6.0;2.49;7.6;8.659105034586426;34.06113537117904
14.5;1.25;21.84;5.16;8.316471607598983;34.49781659388647
10.0;6.5;2.49;7.6;7.590131751162162;34.93449781659388
-17.0;-9.75;-23.9;-9.65;6.9007245996344455;35.37117903930131
