# interval; count;
27.5;393
27.400000000000002;374
0.1;2
27.200000000000003;373
0.5;67
1.0;76
1.1;79
1.3;82
1.5;103
1.7000000000000002;108
1.9000000000000001;157
2.0;159
57.400000000000006;500
2.9000000000000004;165
14.9;333
26.8;371
3.1;198
3.0;168
3.4000000000000004;202
3.2;200
3.7;215
4.2;224
31.3;412
31.5;428
4.1000000000000005;217
4.6000000000000005;257
4.7;270
31.6;449
4.4;238
4.5;250
5.0;297
4.800000000000001;274
5.4;298
5.9;320
5.800000000000001;310
5.7;309
6.2;322
30.1;397
6.1000000000000005;321
34.300000000000004;489
7.1000000000000005;328
20.1;339
6.5;325
20.3;342
33.6;475
7.9;330
46.7;498
19.400000000000002;336
22.1;345
32.4;472
20.900000000000002;344
32.9;474
23.400000000000002;368
22.900000000000002;356
22.700000000000003;352
25.400000000000002;369
36.4;490
